Preview,Anteprima
Label,Etichetta
Select...,Seleziona...
Done,Completato
Result,Risultato
Results,Risultati
Category,Categoria
Yes,SÃ¬
No,No
Change,Modifica
"Are you sure you want to delete this item?","Sei sicuro di voler eliminare questo elemento?"
Position,Posizione
Center,Centro
Identifier,Identificatore
Title,Titolo
HTML,HTML
"Insert Widget","Inserisci Widget"
"Insert Variable","Insert Variable"
Categories,Categorie
Filter,Filtro
"Category ID","ID categoria"
Url,Url
"All products","Tutti i prodotti"
Tags,Tag
Cancel,Annulla
Save,Salva
"Page Information","Informazioni sulla pagina"
"Logo Image","Immagine logo"
