Preview,Voorbeeld
Label,label
Select...,Selecteer...
Done,Klaar
Result,Resultaat
Results,Resultaten
Category,Categorie
Yes,Ja
No,Nee
Change,Verander
"Are you sure you want to delete this item?","Weet u zeker dat u dit artikel wil verwijderen?"
More,Meer
Position,Positie
Center,Centreer
Identifier,Identifier
Title,Titel
HTML,HTML
"Insert Widget","Widget invoegen"
"Insert Variable","Variabele invoegen"
Categories,CategorieÃ«n
Filter,Filteren
"Category ID","Categorie ID"
Url,URL
"All products","Alle producten"
Tags,tags
Cancel,Annuleer
Save,Opslaan
"Page Information",Paginagegevens
"Logo Image","Logo afbeelding"
